Order_ID,Date,Category,Quantity,Unit_Price,Region,Customer_Rating
A001,2026-01-05,Electronics,2.0,500,South,4.5
A002,2026-01-07,Clothing,1.0,800,North,4.0
A003,2026-01-08,Electronics,3.0,450,East,5.0
A003,2026-01-08,Electronics,3.0,450,East,5.0
A005,2026-01-12,Food,5.0,120,South,
A006,2026-01-14,Clothing,2.0,650,West,3.5
A007,2026-01-15,Food,,90,South,4.2
A008,2026-01-18,Electronics,2.0,700,North,4.8
A009,2026-01-20,Clothing,1.0,750,West,2.0
A010,2026-01-22,,4.0,300,East,4.1
A011,2026-01-25,Food,2.0,110,South,3.8
A012,2026-01-28,Electronics,100.0,50,,5.0
